Accession Date (YYYYMMDD),Accession #,Title,Author,Author_name_portion,# Times Checked Out
18941015,9200,Elsie's Motherhood,"Finley, Martha, 1828-1909.", Martha Finley,165
18941015,9201,"Elsie's Widowhood : a sequel to ""Elsie's children"".","Finley, Martha, 1828-1909.", Martha Finley,100
18941015,9202,Grandmother Elsie : a sequel to Elsie's widowhood.,"Finley, Martha, 1828-1909.", Martha Finley,122
18940915,9203,Elsie's new relations : what they did and how they fared at Ion : a sequel to Grandmother Elsie.,"Finley, Martha, 1828-1909.", Martha Finley,109
18941015,9204,"Elsie at Nantucket : a sequel to ""Elsie's new relations.","Finley, Martha, 1828-1909.", Martha Finley,126
18941015,9205,"Elsie at Nantucket : a sequel to ""Elsie's new relations.","Finley, Martha, 1828-1909.", Martha Finley,98
18941015,9207,The two Elsies.,"Finley, Martha, 1828-1909.", Martha Finley,111
18941015,9208,Elsie's kith and kin.,"Finley, Martha, 1828-1909.", Martha Finley,103
18941015,9209,Elsie's kith and kin.,"Finley, Martha, 1828-1909.", Martha Finley,109
18941015,9210,Elsie's friends at Woodburn.,"Finley, Martha, 1828-1909.", Martha Finley,98
18941015,9211,Elsie's friends at Woodburn.,"Finley, Martha, 1828-1909.", Martha Finley,102
18941015,9212,Christmas with Grandma Elsie.,"Finley, Martha, 1828-1909.", Martha Finley,135
18941015,9213,Christmas with Grandma Elsie.,"Finley, Martha, 1828-1909.", Martha Finley,60
18941015,9214,Elsie and the Raymonds.,"Finley, Martha, 1828-1909.", Martha Finley,96
18941015,9215,Elsie and the Raymonds.,"Finley, Martha, 1828-1909.", Martha Finley,85
