Accession Date (YYYYMMDD),Accession #,Title,Author,Author_name_portion,# Times Checked Out
18750313,805,The vicar of Wakefield : a tale.,"Goldsmith, Oliver, 1730?-1774.", Oliver Goldsmith,29
18750313,807,"The banker's wife; or, Court and city : a novel.","Gore, Mrs. (Catherine Grace Frances), 1799-1861.", Catherine Grace Frances Gore,25
18750313,812,The adventures of Reuben Davidger : seventeen years and four months captive among the Dyaks of Borneo.,"Greenwood, James.", James Greenwood,40
18750313,817,Enchanting and enchanted.,"Hackländer, F. W. (Friedrich Wilhelm), 1816-1877.", Friedrich Wilhelm Hackländer,40
18940727,8979,The White Company.,"Doyle, Arthur Conan, Sir, 1859-1930.", Sir Arthur Conan Doyle,87
18750313,840,"Courtship and marriage, or, The joys and sorrows of American life.","Hentz, Caroline Lee, 1800-1856.", Caroline Lee Hentz,25
18920307,8218,An old-fashioned girl.,"Alcott, Louisa May, 1832-1888.", Louisa May Alcott,128
18920307,8220,Little men : life at Plumfield with Jo's boys.,"Alcott, Louisa May, 1832-1888.", Louisa May Alcott,118
18750313,857,The guardian angel.,"Holmes, Oliver Wendell, 1809-1894.", Oliver Wendell Holmes,78
18750313,864,"Isoult Barry of Wynscote, her diurnal book : a tale of Tudor times.","Holt, Emily Sarah, b. 1836.", Emily Sarah Holt,49
18750313,872,A simple story.,"Inchbald, Mrs., 1753-1821.", Mrs. Inchbald,72
18750313,885,Jeanie's quiet life : a novel.,"Tabor, Eliza.", Eliza Tabor,4
18750313,888,Skirmishing.,"Jenkin, C. (Camilla), 1807?-1885", Camilla Jenkin,11
18750313,898,Lion Ben of Elm Island.,"Kellogg, Elijah, 1813-1901.", Elijah Kellogg,41
18750313,905,"Saint Leger; or, The threads of life : a romance.","Kimball, Richard B. (Richard Burleigh), 1816-1892.", Richard Burleigh Kimball,15
18750313,906,Undercurrents : a novel.,"Kimball, Richard B. (Richard Burleigh), 1816-1892.", Richard Burleigh Kimball,29
18940727,8980,"The prince of India, or, Why Constantinople fell.","Wallace, Lew, 1827-1905.", Lew Wallace,101
18940727,8981,"The prince of India, or, Why Constantinople fell.","Wallace, Lew, 1827-1905.", Lew Wallace,79
18940727,8983,Donovan : a novel.,"Lyall, Edna, 1857-1903.", Edna Lyall,60
18940727,8984,The American claimant.,"Clemens, Samuel Langhorne, ‡d 1835-1910.", Samuel Langhorne Clemens,82
18750313,913,"Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, Knight : in the reign of Her Most Glorious Majesty, Queen Elizabeth.","Kingsley, Charles, 1819-1875.", Charles Kingsley,48
18940727,8985,A war-time wooing : a story.,"King, Charles, 1844-1933.", Charles King,145
18940727,8986,Don Orsino.,"Crawford, F. Marion (Francis Marion), 1854-1909.", Francis Marion Crawford,81
18940727,8987,Sant' Ilario.,"Crawford, F. Marion (Francis Marion), 1854-1909.", Francis Marion Crawford,87
18940727,8988,The adventures of Oliver Twist.,"Dickens, Charles, 1812-1870.", Charles Dickens,35
18940727,8989,Perlycross : a novel.,"Blackmore, R. D. (Richard Doddridge), 1825-1900.", Richard Doddridge Blackmore,82
18940727,8990,Marcella.,"Ward, Humphry, Mrs., 1851-1920.", Mrs. Humphry Ward,127
