accession_number,book_url
6671,https://lib.bsu.edu/wmr/book_record.php?ID=369
6672,https://lib.bsu.edu/wmr/book_record.php?ID=371
6678,https://lib.bsu.edu/wmr/book_record.php?ID=380
6679,https://lib.bsu.edu/wmr/book_record.php?ID=381
6682,https://lib.bsu.edu/wmr/book_record.php?ID=384
6683,https://lib.bsu.edu/wmr/book_record.php?ID=385
6689,https://lib.bsu.edu/wmr/book_record.php?ID=391
6690,https://lib.bsu.edu/wmr/book_record.php?ID=392
7200,https://lib.bsu.edu/wmr/book_record.php?ID=1515
7201,https://lib.bsu.edu/wmr/book_record.php?ID=1519
7202,https://lib.bsu.edu/wmr/book_record.php?ID=1542
7203,https://lib.bsu.edu/wmr/book_record.php?ID=1543
7205,https://lib.bsu.edu/wmr/book_record.php?ID=1545
7206,https://lib.bsu.edu/wmr/book_record.php?ID=1572
7213,https://lib.bsu.edu/wmr/book_record.php?ID=1628
7216,https://lib.bsu.edu/wmr/book_record.php?ID=1642
7219,https://lib.bsu.edu/wmr/book_record.php?ID=1647
7220,https://lib.bsu.edu/wmr/book_record.php?ID=1648
7621,https://lib.bsu.edu/wmr/book_record.php?ID=3676
7689,https://lib.bsu.edu/wmr/book_record.php?ID=4342
7691,https://lib.bsu.edu/wmr/book_record.php?ID=4348
7692,https://lib.bsu.edu/wmr/book_record.php?ID=4351
7693,https://lib.bsu.edu/wmr/book_record.php?ID=4353
7694,https://lib.bsu.edu/wmr/book_record.php?ID=4354
7696,https://lib.bsu.edu/wmr/book_record.php?ID=4360
7697,https://lib.bsu.edu/wmr/book_record.php?ID=4361
7700,https://lib.bsu.edu/wmr/book_record.php?ID=4364
7702,https://lib.bsu.edu/wmr/book_record.php?ID=4369
7703,https://lib.bsu.edu/wmr/book_record.php?ID=4375
7704,https://lib.bsu.edu/wmr/book_record.php?ID=4380
7705,https://lib.bsu.edu/wmr/book_record.php?ID=4384
7706,https://lib.bsu.edu/wmr/book_record.php?ID=4387
7707,https://lib.bsu.edu/wmr/book_record.php?ID=4390
7708,https://lib.bsu.edu/wmr/book_record.php?ID=4393
7709,https://lib.bsu.edu/wmr/book_record.php?ID=4396
7710,https://lib.bsu.edu/wmr/book_record.php?ID=4399
