patron_number,patron_url
2934,https://lib.bsu.edu/wmr/patron_record.php?ID=1613
2936,https://lib.bsu.edu/wmr/patron_record.php?ID=1614
2940,https://lib.bsu.edu/wmr/patron_record.php?ID=29
2942,https://lib.bsu.edu/wmr/patron_record.php?ID=160
2957,https://lib.bsu.edu/wmr/patron_record.php?ID=984
2983,https://lib.bsu.edu/wmr/patron_record.php?ID=124
2986,https://lib.bsu.edu/wmr/patron_record.php?ID=985
2996,https://lib.bsu.edu/wmr/patron_record.php?ID=176
2999,https://lib.bsu.edu/wmr/patron_record.php?ID=986
3000,https://lib.bsu.edu/wmr/patron_record.php?ID=840
3001,https://lib.bsu.edu/wmr/patron_record.php?ID=257
3007,https://lib.bsu.edu/wmr/patron_record.php?ID=1626
3012,https://lib.bsu.edu/wmr/patron_record.php?ID=1708
3014,https://lib.bsu.edu/wmr/patron_record.php?ID=1692
3019,https://lib.bsu.edu/wmr/patron_record.php?ID=1793
3038,https://lib.bsu.edu/wmr/patron_record.php?ID=987
3042,https://lib.bsu.edu/wmr/patron_record.php?ID=1786
3051,https://lib.bsu.edu/wmr/patron_record.php?ID=855
3054,https://lib.bsu.edu/wmr/patron_record.php?ID=1718
3060,https://lib.bsu.edu/wmr/patron_record.php?ID=243
3068,https://lib.bsu.edu/wmr/patron_record.php?ID=1674
3069,https://lib.bsu.edu/wmr/patron_record.php?ID=1784
3075,https://lib.bsu.edu/wmr/patron_record.php?ID=990
3091,https://lib.bsu.edu/wmr/patron_record.php?ID=181
3097,https://lib.bsu.edu/wmr/patron_record.php?ID=861
3101,https://lib.bsu.edu/wmr/patron_record.php?ID=2460
3103,https://lib.bsu.edu/wmr/patron_record.php?ID=2462
3104,https://lib.bsu.edu/wmr/patron_record.php?ID=528
3106,https://lib.bsu.edu/wmr/patron_record.php?ID=2464
3107,https://lib.bsu.edu/wmr/patron_record.php?ID=2465
3110,https://lib.bsu.edu/wmr/patron_record.php?ID=529
3111,https://lib.bsu.edu/wmr/patron_record.php?ID=2468
3112,https://lib.bsu.edu/wmr/patron_record.php?ID=2469
3113,https://lib.bsu.edu/wmr/patron_record.php?ID=2470
3114,https://lib.bsu.edu/wmr/patron_record.php?ID=2471
3118,https://lib.bsu.edu/wmr/patron_record.php?ID=2475
3119,https://lib.bsu.edu/wmr/patron_record.php?ID=2476
3120,https://lib.bsu.edu/wmr/patron_record.php?ID=2477
3121,https://lib.bsu.edu/wmr/patron_record.php?ID=2478
3125,https://lib.bsu.edu/wmr/patron_record.php?ID=2481
3127,https://lib.bsu.edu/wmr/patron_record.php?ID=1368
3132,https://lib.bsu.edu/wmr/patron_record.php?ID=2486
3133,https://lib.bsu.edu/wmr/patron_record.php?ID=1362
3136,https://lib.bsu.edu/wmr/patron_record.php?ID=2389
3138,https://lib.bsu.edu/wmr/patron_record.php?ID=2391
3139,https://lib.bsu.edu/wmr/patron_record.php?ID=2392
3146,https://lib.bsu.edu/wmr/patron_record.php?ID=2399
3147,https://lib.bsu.edu/wmr/patron_record.php?ID=2400
3149,https://lib.bsu.edu/wmr/patron_record.php?ID=2402
3151,https://lib.bsu.edu/wmr/patron_record.php?ID=2404
3153,https://lib.bsu.edu/wmr/patron_record.php?ID=2406
3156,https://lib.bsu.edu/wmr/patron_record.php?ID=2409
3158,https://lib.bsu.edu/wmr/patron_record.php?ID=2410
3159,https://lib.bsu.edu/wmr/patron_record.php?ID=2411
3162,https://lib.bsu.edu/wmr/patron_record.php?ID=532
3168,https://lib.bsu.edu/wmr/patron_record.php?ID=2419
3170,https://lib.bsu.edu/wmr/patron_record.php?ID=533
3175,https://lib.bsu.edu/wmr/patron_record.php?ID=2430
3176,https://lib.bsu.edu/wmr/patron_record.php?ID=2431
3178,https://lib.bsu.edu/wmr/patron_record.php?ID=2433
3179,https://lib.bsu.edu/wmr/patron_record.php?ID=2434
3180,https://lib.bsu.edu/wmr/patron_record.php?ID=2435
3182,https://lib.bsu.edu/wmr/patron_record.php?ID=2437
3184,https://lib.bsu.edu/wmr/patron_record.php?ID=2439
3185,https://lib.bsu.edu/wmr/patron_record.php?ID=2440
3186,https://lib.bsu.edu/wmr/patron_record.php?ID=2441
3187,https://lib.bsu.edu/wmr/patron_record.php?ID=2442
3188,https://lib.bsu.edu/wmr/patron_record.php?ID=2443
3189,https://lib.bsu.edu/wmr/patron_record.php?ID=535
3190,https://lib.bsu.edu/wmr/patron_record.php?ID=2444
3191,https://lib.bsu.edu/wmr/patron_record.php?ID=2445
3192,https://lib.bsu.edu/wmr/patron_record.php?ID=2446
3193,https://lib.bsu.edu/wmr/patron_record.php?ID=2447
3194,https://lib.bsu.edu/wmr/patron_record.php?ID=2448
3195,https://lib.bsu.edu/wmr/patron_record.php?ID=2449
3196,https://lib.bsu.edu/wmr/patron_record.php?ID=2450
3197,https://lib.bsu.edu/wmr/patron_record.php?ID=536
3198,https://lib.bsu.edu/wmr/patron_record.php?ID=2451
3199,https://lib.bsu.edu/wmr/patron_record.php?ID=2452
3200,https://lib.bsu.edu/wmr/patron_record.php?ID=2453
3201,https://lib.bsu.edu/wmr/patron_record.php?ID=2454
3202,https://lib.bsu.edu/wmr/patron_record.php?ID=2455
3203,https://lib.bsu.edu/wmr/patron_record.php?ID=2456
3204,https://lib.bsu.edu/wmr/patron_record.php?ID=2457
3205,https://lib.bsu.edu/wmr/patron_record.php?ID=2458
3206,https://lib.bsu.edu/wmr/patron_record.php?ID=2323
3207,https://lib.bsu.edu/wmr/patron_record.php?ID=2324
3208,https://lib.bsu.edu/wmr/patron_record.php?ID=2325
3209,https://lib.bsu.edu/wmr/patron_record.php?ID=537
3211,https://lib.bsu.edu/wmr/patron_record.php?ID=538
3212,https://lib.bsu.edu/wmr/patron_record.php?ID=2327
3213,https://lib.bsu.edu/wmr/patron_record.php?ID=2328
3214,https://lib.bsu.edu/wmr/patron_record.php?ID=2329
3215,https://lib.bsu.edu/wmr/patron_record.php?ID=2330
3216,https://lib.bsu.edu/wmr/patron_record.php?ID=2331
3217,https://lib.bsu.edu/wmr/patron_record.php?ID=2332
3218,https://lib.bsu.edu/wmr/patron_record.php?ID=568
3219,https://lib.bsu.edu/wmr/patron_record.php?ID=2333
3220,https://lib.bsu.edu/wmr/patron_record.php?ID=2334
3221,https://lib.bsu.edu/wmr/patron_record.php?ID=2335
3224,https://lib.bsu.edu/wmr/patron_record.php?ID=2337
3225,https://lib.bsu.edu/wmr/patron_record.php?ID=3037
3226,https://lib.bsu.edu/wmr/patron_record.php?ID=2338
3228,https://lib.bsu.edu/wmr/patron_record.php?ID=2340
3538,https://lib.bsu.edu/wmr/patron_record.php?ID=3437
4000,https://lib.bsu.edu/wmr/patron_record.php?ID=1782
4002,https://lib.bsu.edu/wmr/patron_record.php?ID=253
4014,https://lib.bsu.edu/wmr/patron_record.php?ID=649
4023,https://lib.bsu.edu/wmr/patron_record.php?ID=166
4027,https://lib.bsu.edu/wmr/patron_record.php?ID=1795
4031,https://lib.bsu.edu/wmr/patron_record.php?ID=838
4040,https://lib.bsu.edu/wmr/patron_record.php?ID=996
4042,https://lib.bsu.edu/wmr/patron_record.php?ID=91
4043,https://lib.bsu.edu/wmr/patron_record.php?ID=94
4045,https://lib.bsu.edu/wmr/patron_record.php?ID=997
4055,https://lib.bsu.edu/wmr/patron_record.php?ID=655
4056,https://lib.bsu.edu/wmr/patron_record.php?ID=999
4060,https://lib.bsu.edu/wmr/patron_record.php?ID=189
4061,https://lib.bsu.edu/wmr/patron_record.php?ID=656
4075,https://lib.bsu.edu/wmr/patron_record.php?ID=862
4076,https://lib.bsu.edu/wmr/patron_record.php?ID=1735
4081,https://lib.bsu.edu/wmr/patron_record.php?ID=1766
4089,https://lib.bsu.edu/wmr/patron_record.php?ID=657
4096,https://lib.bsu.edu/wmr/patron_record.php?ID=1667
4099,https://lib.bsu.edu/wmr/patron_record.php?ID=1730
4120,https://lib.bsu.edu/wmr/patron_record.php?ID=1131
4124,https://lib.bsu.edu/wmr/patron_record.php?ID=1007
4127,https://lib.bsu.edu/wmr/patron_record.php?ID=1136
4132,https://lib.bsu.edu/wmr/patron_record.php?ID=1141
4143,https://lib.bsu.edu/wmr/patron_record.php?ID=21
4148,https://lib.bsu.edu/wmr/patron_record.php?ID=1008
4166,https://lib.bsu.edu/wmr/patron_record.php?ID=1010
4182,https://lib.bsu.edu/wmr/patron_record.php?ID=1011
4196,https://lib.bsu.edu/wmr/patron_record.php?ID=1195
4203,https://lib.bsu.edu/wmr/patron_record.php?ID=101
4222,https://lib.bsu.edu/wmr/patron_record.php?ID=62
4231,https://lib.bsu.edu/wmr/patron_record.php?ID=1221
4233,https://lib.bsu.edu/wmr/patron_record.php?ID=1016
4239,https://lib.bsu.edu/wmr/patron_record.php?ID=1018
4240,https://lib.bsu.edu/wmr/patron_record.php?ID=1226
4242,https://lib.bsu.edu/wmr/patron_record.php?ID=651
4244,https://lib.bsu.edu/wmr/patron_record.php?ID=1019
4246,https://lib.bsu.edu/wmr/patron_record.php?ID=1020
4249,https://lib.bsu.edu/wmr/patron_record.php?ID=1230
4250,https://lib.bsu.edu/wmr/patron_record.php?ID=148
4251,https://lib.bsu.edu/wmr/patron_record.php?ID=1231
4253,https://lib.bsu.edu/wmr/patron_record.php?ID=1233
4254,https://lib.bsu.edu/wmr/patron_record.php?ID=60
4267,https://lib.bsu.edu/wmr/patron_record.php?ID=1021
4269,https://lib.bsu.edu/wmr/patron_record.php?ID=1102
4270,https://lib.bsu.edu/wmr/patron_record.php?ID=1241
4286,https://lib.bsu.edu/wmr/patron_record.php?ID=1248
4294,https://lib.bsu.edu/wmr/patron_record.php?ID=1258
4296,https://lib.bsu.edu/wmr/patron_record.php?ID=1251
4302,https://lib.bsu.edu/wmr/patron_record.php?ID=209
4303,https://lib.bsu.edu/wmr/patron_record.php?ID=1104
4305,https://lib.bsu.edu/wmr/patron_record.php?ID=126
4306,https://lib.bsu.edu/wmr/patron_record.php?ID=2179
4308,https://lib.bsu.edu/wmr/patron_record.php?ID=1028
4312,https://lib.bsu.edu/wmr/patron_record.php?ID=1030
4314,https://lib.bsu.edu/wmr/patron_record.php?ID=49
4316,https://lib.bsu.edu/wmr/patron_record.php?ID=200
4317,https://lib.bsu.edu/wmr/patron_record.php?ID=27
4329,https://lib.bsu.edu/wmr/patron_record.php?ID=1123
4342,https://lib.bsu.edu/wmr/patron_record.php?ID=2209
4344,https://lib.bsu.edu/wmr/patron_record.php?ID=28
4349,https://lib.bsu.edu/wmr/patron_record.php?ID=1032
4354,https://lib.bsu.edu/wmr/patron_record.php?ID=150
4358,https://lib.bsu.edu/wmr/patron_record.php?ID=188
4370,https://lib.bsu.edu/wmr/patron_record.php?ID=34
4372,https://lib.bsu.edu/wmr/patron_record.php?ID=821
4380,https://lib.bsu.edu/wmr/patron_record.php?ID=662
4382,https://lib.bsu.edu/wmr/patron_record.php?ID=835
4386,https://lib.bsu.edu/wmr/patron_record.php?ID=1034
4391,https://lib.bsu.edu/wmr/patron_record.php?ID=2186
4398,https://lib.bsu.edu/wmr/patron_record.php?ID=46
4404,https://lib.bsu.edu/wmr/patron_record.php?ID=13
4415,https://lib.bsu.edu/wmr/patron_record.php?ID=250
4426,https://lib.bsu.edu/wmr/patron_record.php?ID=237
4429,https://lib.bsu.edu/wmr/patron_record.php?ID=16
4436,https://lib.bsu.edu/wmr/patron_record.php?ID=1327
4443,https://lib.bsu.edu/wmr/patron_record.php?ID=163
4444,https://lib.bsu.edu/wmr/patron_record.php?ID=233
4447,https://lib.bsu.edu/wmr/patron_record.php?ID=1339
4456,https://lib.bsu.edu/wmr/patron_record.php?ID=165
4460,https://lib.bsu.edu/wmr/patron_record.php?ID=1845
4463,https://lib.bsu.edu/wmr/patron_record.php?ID=1954
4465,https://lib.bsu.edu/wmr/patron_record.php?ID=1044
4466,https://lib.bsu.edu/wmr/patron_record.php?ID=1045
4467,https://lib.bsu.edu/wmr/patron_record.php?ID=139
4469,https://lib.bsu.edu/wmr/patron_record.php?ID=59
4470,https://lib.bsu.edu/wmr/patron_record.php?ID=5
4474,https://lib.bsu.edu/wmr/patron_record.php?ID=664
4475,https://lib.bsu.edu/wmr/patron_record.php?ID=1046
4479,https://lib.bsu.edu/wmr/patron_record.php?ID=1047
